                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.79252,                0.61384,                 1.2341,                0.94406,                 0.9604,                0.98215,                0.78268,                0.71741,                0.49812,                 1.2625,              0.0013466,              0.0013466,              0.0013466
                     36,                0.77462,                0.59552,                 1.2245,                0.95685,                0.95151,                0.98635,                0.79437,                 0.6955,                0.47142,                 1.2505,              0.0013268,              0.0013268,              0.0013268
                     37,                 0.8011,                0.61169,                 1.2484,                0.94241,                0.94059,                0.98085,                0.79318,                0.69111,                0.49432,                 1.2518,               0.001307,               0.001307,               0.001307
                     38,                0.77518,                0.58493,                 1.2284,                0.95715,                0.95831,                0.98551,                0.81569,                0.65871,                0.46277,                 1.2093,              0.0012872,              0.0012872,              0.0012872
                     39,                0.79446,                0.57394,                 1.2463,                0.95724,                0.96041,                0.98119,                0.79638,                0.66912,                0.45421,                 1.2174,              0.0012674,              0.0012674,              0.0012674
                     40,                0.76278,                 0.5802,                 1.2149,                0.93995,                 0.9703,                0.98615,                0.81807,                0.67394,                0.46576,                 1.2175,              0.0012476,              0.0012476,              0.0012476
                     41,                0.77535,                0.58972,                 1.2299,                 0.9599,                 0.9571,                0.98402,                0.80722,                0.68666,                0.47611,                 1.2395,              0.0012278,              0.0012278,              0.0012278
                     42,                0.74593,                0.57004,                  1.211,                0.94432,                0.95158,                0.97185,                0.79675,                0.70317,                0.47325,                 1.2497,               0.001208,               0.001208,               0.001208
                     43,                0.75358,                 0.5715,                 1.2106,                0.94306,                 0.9769,                0.98605,                0.81612,                0.62968,                0.45805,                 1.1931,              0.0011882,              0.0011882,              0.0011882
                     44,                0.75673,                0.56004,                 1.2133,                0.93287,                0.96307,                0.97968,                0.79345,                0.70121,                0.48585,                 1.2435,              0.0011684,              0.0011684,              0.0011684
                     45,                0.73817,                0.56115,                  1.197,                0.94572,                0.97757,                0.98591,                0.81516,                0.68993,                0.43501,                 1.2347,              0.0011486,              0.0011486,              0.0011486
                     46,                0.73294,                0.54287,                 1.1986,                0.94602,                 0.9769,                0.98152,                0.80181,                0.68927,                0.44906,                 1.2319,              0.0011288,              0.0011288,              0.0011288
                     47,                0.72886,                0.54679,                 1.2147,                0.96504,                 0.9505,                0.98766,                0.82065,                0.62793,                0.42823,                 1.1865,               0.001109,               0.001109,               0.001109
                     48,                0.72482,                0.53528,                  1.192,                0.94763,                 0.9555,                0.98189,                0.81914,                0.65725,                0.43138,                 1.2182,              0.0010892,              0.0010892,              0.0010892
                     49,                 0.7222,                0.53276,                 1.1917,                0.93241,                  0.967,                0.97743,                0.81602,                  0.685,                0.44535,                 1.2413,              0.0010694,              0.0010694,              0.0010694
                     50,                0.74734,                0.54214,                 1.1993,                0.93543,                0.95618,                0.98646,                0.83279,                0.61128,                0.42274,                 1.1649,              0.0010496,              0.0010496,              0.0010496
                     51,                0.68256,                0.51047,                 1.1639,                0.95682,                 0.9604,                0.99039,                 0.8266,                0.65343,                 0.4171,                 1.1807,              0.0010298,              0.0010298,              0.0010298
                     52,                0.69591,                0.52731,                 1.1731,                0.95739,                  0.967,                 0.9903,                0.84744,                0.59605,                0.41361,                 1.1568,                0.00101,                0.00101,                0.00101
                     53,                0.71148,                0.53078,                 1.1851,                0.96015,                0.95413,                0.98411,                0.83081,                0.62757,                0.43539,                 1.1883,              0.0009902,              0.0009902,              0.0009902
                     54,                0.73087,                0.54245,                 1.2025,                0.94019,                 0.9736,                0.98879,                0.83117,                0.61301,                 0.4103,                 1.1727,              0.0009704,              0.0009704,              0.0009704
                     55,                0.68517,                 0.5054,                 1.1672,                0.95463,                0.97223,                0.98886,                0.84478,                0.60807,                0.41581,                 1.1699,              0.0009506,              0.0009506,              0.0009506
                     56,                0.71444,                0.52279,                 1.1864,                0.94427,                 0.9637,                0.98248,                0.81813,                 0.6433,                0.43268,                 1.2047,              0.0009308,              0.0009308,              0.0009308
                     57,                0.68637,                 0.5083,                 1.1605,                0.95773,                 0.9769,                0.99066,                0.83496,                0.62119,                0.41723,                 1.1694,               0.000911,               0.000911,               0.000911
                     58,                0.66832,                0.49346,                 1.1558,                0.95768,                0.97097,                0.99068,                0.85843,                0.57202,                0.39251,                 1.1231,              0.0008912,              0.0008912,              0.0008912
                     59,                0.67197,                0.49154,                 1.1464,                0.94292,                0.98127,                0.98878,                0.84687,                0.60202,                0.38522,                 1.1885,              0.0008714,              0.0008714,              0.0008714
                     60,                0.68872,                0.51155,                 1.1671,                 0.9574,                0.96433,                0.98936,                0.85374,                  0.592,                0.40252,                  1.136,              0.0008516,              0.0008516,              0.0008516
                     61,                0.66773,                0.49129,                  1.157,                0.96132,                0.98422,                0.99201,                0.85062,                0.57947,                0.37426,                 1.1393,              0.0008318,              0.0008318,              0.0008318
                     62,                0.67376,                 0.4908,                 1.1618,                0.95839,                 0.9769,                0.98602,                0.83159,                0.59732,                 0.3959,                 1.1559,               0.000812,               0.000812,               0.000812
                     63,                0.67923,                0.48387,                 1.1603,                0.94916,                 0.9858,                 0.9844,                0.83517,                 0.5773,                0.38013,                 1.1463,              0.0007922,              0.0007922,              0.0007922
                     64,                0.66023,                0.46585,                 1.1484,                0.95795,                0.97732,                 0.9921,                0.86355,                0.55589,                0.37216,                  1.113,              0.0007724,              0.0007724,              0.0007724
                     65,                0.65714,                 0.4665,                 1.1527,                 0.9546,                0.97144,                0.98892,                0.85337,                0.58946,                0.37326,                 1.1431,              0.0007526,              0.0007526,              0.0007526
                     66,                0.66706,                0.46918,                 1.1437,                0.95475,                 0.9769,                0.98929,                0.85569,                0.57327,                0.37459,                 1.1277,              0.0007328,              0.0007328,              0.0007328
                     67,                0.62505,                0.45059,                 1.1344,                0.96149,                 0.9637,                0.99026,                0.87552,                0.54522,                 0.3668,                 1.1151,               0.000713,               0.000713,               0.000713
                     68,                0.63571,                0.45253,                 1.1326,                0.95828,                 0.9769,                0.99137,                0.86771,                0.57172,                 0.3679,                 1.1376,              0.0006932,              0.0006932,              0.0006932
                     69,                0.61215,                0.44023,                 1.1096,                0.94803,                 0.9835,                0.99005,                0.86233,                0.56002,                 0.3656,                  1.124,              0.0006734,              0.0006734,              0.0006734
                     70,                0.64026,                0.44792,                 1.1397,                0.97687,                0.97568,                 0.9918,                0.86408,                0.56557,                0.35405,                 1.1299,              0.0006536,              0.0006536,              0.0006536
                     71,                0.63703,                0.45294,                 1.1412,                0.94908,                 0.9802,                0.98931,                0.85226,                0.55823,                0.36338,                 1.1219,              0.0006338,              0.0006338,              0.0006338
                     72,                0.62441,                0.46145,                 1.1322,                 0.9636,                 0.9538,                 0.9902,                0.86212,                0.55571,                0.36787,                 1.1168,               0.000614,               0.000614,               0.000614
                     73,                0.62582,                0.44938,                 1.1278,                0.95381,                 0.9637,                0.98966,                0.85946,                0.55635,                0.37377,                 1.1095,              0.0005942,              0.0005942,              0.0005942
                     74,                0.60255,                0.42787,                 1.1249,                0.96676,                  0.967,                0.99108,                0.86695,                0.55762,                0.35698,                 1.1197,              0.0005744,              0.0005744,              0.0005744
                     75,                0.60868,                0.42057,                  1.127,                0.94644,                 0.9802,                0.99079,                0.87358,                0.55053,                0.35247,                 1.1186,              0.0005546,              0.0005546,              0.0005546
                     76,                  0.607,                0.42882,                 1.1106,                0.96697,                0.96616,                0.99044,                0.85216,                0.57874,                 0.3468,                 1.1414,              0.0005348,              0.0005348,              0.0005348
                     77,                0.60045,                0.41163,                 1.1118,                0.97365,                0.97547,                0.99155,                0.85963,                0.57749,                0.34209,                 1.1443,               0.000515,               0.000515,               0.000515
                     78,                0.59596,                0.40778,                 1.1092,                0.96523,                 0.9736,                0.99145,                0.87442,                0.56509,                0.33475,                 1.1258,              0.0004952,              0.0004952,              0.0004952
                     79,                0.59905,                0.41333,                 1.1097,                0.95474,                0.97474,                0.98968,                 0.8611,                0.57036,                0.34135,                 1.1401,              0.0004754,              0.0004754,              0.0004754
                     80,                0.58713,                0.40925,                    1.1,                0.95993,                 0.9769,                0.98749,                0.86541,                0.54893,                0.34272,                 1.1281,              0.0004556,              0.0004556,              0.0004556
                     81,                0.57589,                0.40745,                    1.1,                0.96417,                0.97697,                0.99076,                 0.8692,                0.55134,                0.33764,                 1.1308,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.6178,                 0.4311,                 1.1277,                0.96624,                 0.9703,                  0.991,                0.86521,                0.55711,                0.33245,                  1.128,               0.000416,               0.000416,               0.000416
                     83,                0.57053,                 0.3953,                 1.1046,                0.96353,                 0.9571,                0.99046,                0.87615,                0.53799,                0.33935,                 1.1028,              0.0003962,              0.0003962,              0.0003962
                     84,                0.56073,                0.38918,                 1.0818,                0.94544,                 0.9901,                0.99111,                0.87615,                0.53028,                0.33175,                 1.0985,              0.0003764,              0.0003764,              0.0003764
                     85,                0.56835,                0.39631,                  1.098,                0.95828,                0.98547,                0.99126,                0.87715,                0.53386,                0.32795,                 1.0975,              0.0003566,              0.0003566,              0.0003566
                     86,                0.57201,                0.40007,                 1.0923,                0.96205,                 0.9901,                0.99041,                 0.8757,                0.53477,                0.33132,                  1.094,              0.0003368,              0.0003368,              0.0003368
                     87,                0.55262,                0.39024,                 1.0961,                 0.9594,                 0.9703,                0.99058,                0.87498,                0.54268,                0.32809,                 1.1089,               0.000317,               0.000317,               0.000317
                     88,                 0.5587,                0.39946,                 1.0814,                0.96111,                0.97875,                0.99149,                0.87724,                0.54032,                0.31253,                 1.1208,              0.0002972,              0.0002972,              0.0002972
                     89,                0.54349,                0.37781,                 1.0835,                0.96111,                0.97883,                0.99122,                0.88842,                0.51058,                0.32186,                 1.0837,              0.0002774,              0.0002774,              0.0002774
                     90,                0.54402,                0.38673,                 1.0789,                0.95514,                0.98368,                0.99077,                0.88365,                0.51955,                0.32664,                 1.1012,              0.0002576,              0.0002576,              0.0002576
                     91,                0.41475,                0.29435,                0.98716,                0.96454,                0.98735,                0.99286,                  0.879,                0.52321,                0.32764,                 1.0976,              0.0002378,              0.0002378,              0.0002378
                     92,                0.41796,                0.28326,                0.97617,                0.96438,                 0.9828,                0.99239,                0.88192,                0.50746,                0.32124,                 1.0794,               0.000218,               0.000218,               0.000218
                     93,                0.39954,                0.28038,                0.96861,                0.96908,                 0.9835,                0.99217,                0.88386,                0.49749,                0.32219,                 1.0675,              0.0001982,              0.0001982,              0.0001982
                     94,                 0.3909,                0.26421,                0.95707,                0.97306,                 0.9868,                0.99297,                0.89113,                0.49417,                0.32388,                 1.0648,              0.0001784,              0.0001784,              0.0001784
                     95,                0.39029,                 0.2661,                 0.9638,                0.97517,                 0.9835,                  0.993,                0.89021,                0.48969,                0.31654,                 1.0602,              0.0001586,              0.0001586,              0.0001586
                     96,                0.38942,                0.25777,                0.96831,                0.97371,                 0.9835,                0.99164,                0.88936,                0.49592,                0.32273,                 1.0679,              0.0001388,              0.0001388,              0.0001388
                     97,                 0.3882,                0.26266,                0.96034,                0.96415,                 0.9868,                 0.9909,                0.88822,                0.48851,                0.31345,                 1.0641,               0.000119,               0.000119,               0.000119
                     98,                 0.3667,                0.24594,                0.94032,                0.96753,                0.98345,                0.99178,                0.88793,                0.49264,                0.31529,                 1.0642,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.37031,                0.25562,                 0.9461,                 0.9777,                 0.9736,                 0.9921,                0.89191,                0.48839,                0.31119,                 1.0654,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 0.3677,                0.24975,                0.94728,                0.97723,                 0.9769,                0.99182,                0.89394,                0.48331,                0.31624,                 1.0604,               5.96e-05,               5.96e-05,               5.96e-05
